Match_id,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11
1144508,Australia,Bangladesh,Trent Bridge,Australia,bat,Australia,AE Jones,TT Beaumont,SJ Taylor,HC Knight,NR Sciver,DN Wyatt,KH Brunt,LA Marsh,A Shrubsole,KL Cross,S Ecclestone
1144509,England,Sri Lanka,Headingley,Sri Lanka,bat,Sri Lanka,TT Beaumont,AE Jones,SJ Taylor,NR Sciver,HC Knight,DN Wyatt,KH Brunt,A Shrubsole,S Ecclestone,KL Cross,LA Marsh
1144511,New Zealand,West Indies,Old Trafford,West Indies,field,New Zealand,AE Jones,TT Beaumont,SJ Taylor,DN Wyatt,HC Knight,FC Wilson,A Shrubsole,KL Cross,S Ecclestone,BF Smith,JL Gunn
1144512,Pakistan,South Africa,Lord's,Pakistan,bat,Pakistan,Shoaib Malik,Mohammad Hafeez,Younis Khan,Shoaib Akhtar,Mohammad Asif,Naved-ul-Hasan,Abdul Razzaq,Shahid Afridi,-,-,-
1144514,England,Australia,Lord's,England,field,Australia,Shoaib Malik,Mohammad Hafeez,Younis Khan,Mohammad Yousuf,Inzamam-ul-Haq,Shoaib Akhtar,Mohammad Asif,Naved-ul-Hasan,Abdul Razzaq,Shahid Afridi,-
1144516,India,West Indies,Old Trafford,India,bat,India,Shoaib Malik,Mohammad Hafeez,Younis Khan,Mohammad Yousuf,Inzamam-ul-Haq,Shahid Afridi,Abdul Razzaq,Kamran Akmal,Naved-ul-Hasan,Shoaib Akhtar,Mohammad Asif
1144517,South Africa,Sri Lanka,Riverside Ground,South Africa,field,South Africa,AJ Strauss,EC Joyce,IR Bell,KP Pietersen,SCJ Broad,J Lewis,SI Mahmood,JWM Dalrymple,PD Collingwood,MH Yardy,-
1144519,Australia,New Zealand,Lord's,Australia,bat,Australia,AJ Strauss,EC Joyce,IR Bell,PD Collingwood,KP Pietersen,JWM Dalrymple,CMW Read,MH Yardy,SI Mahmood,SCJ Broad,J Lewis
1144520,England,India,Edgbaston,England,bat,England,WU Tharanga,ST Jayasuriya,DPMD Jayawardene,KC Sangakkara,WPUJC Vaas,SL Malinga,CRD Fernando,MF Maharoof,HMCM Bandara,-,-
1144521,Sri Lanka,West Indies,Riverside Ground,West Indies,field,Sri Lanka,WU Tharanga,ST Jayasuriya,DPMD Jayawardene,KC Sangakkara,WPUJC Vaas,SL Malinga,CRD Fernando,MF Maharoof,TM Dilshan,HMCM Bandara,-
